SNO,Class,Latitude,Longitude
240,Snow,34.405926,77.523459
241,Snow,34.461533,77.560022
242,Snow,34.44388,77.508425
243,Snow,34.427715,77.544178
244,Snow,34.43565,77.561964
245,Snow,34.477255,77.552991
246,Snow,34.456871,77.57902
247,Snow,34.568534,77.333089
248,Snow,34.547896,77.328453
249,Snow,34.596341,77.353912
250,Snow,34.735082,77.450578
251,Snow,34.73804,77.454897
252,Snow,34.6939,77.451648
253,Snow,34.618114,77.709047
254,Snow,34.690239,77.676036
255,Snow,34.802482,77.728914
256,Snow,34.767333,77.39483
257,Agricultural Field,34.589531,77.465255
258,Agricultural Field,34.589545,77.4626
259,Agricultural Field,34.586638,77.464243
260,Agricultural Field,34.585245,77.464102
261,Agricultural Field,34.63239,77.435842
262,Agricultural Field,34.629436,77.434364
263,Agricultural Field,34.629028,77.436402
264,Agricultural Field,34.627712,77.433266
265,Agricultural Field,34.626827,77.436944
266,Agricultural Field,34.624685,77.43896
267,Agricultural Field,34.622384,77.44165
268,Agricultural Field,34.61146,77.450721
269,Agricultural Field,34.608906,77.449663
270,Agricultural Field,34.607377,77.453208
271,Agricultural Field,34.606027,77.455697
272,Agricultural Field,34.604177,77.455649
273,Agricultural Field,34.596862,77.461832
274,Agricultural Field,34.588074,77.465376
275,Agricultural Field,34.589767,77.46898
276,Agricultural Field,34.59157,77.471651
277,Agricultural Field,34.590584,77.470352
278,Agricultural Field,34.588472,77.472161
279,Agricultural Field,34.587168,77.470261
280,Agricultural Field,34.586722,77.468218
281,Agricultural Field,34.590074,77.480359
282,Agricultural Field,34.591908,77.482923
283,Agricultural Field,34.582606,77.483237
284,Agricultural Field,34.55912,77.531301
285,Agricultural Field,34.556741,77.533215
286,Agricultural Field,34.557646,77.537606
287,Agricultural Field,34.552123,77.531338
288,Agricultural Field,34.555,77.536206
289,Agricultural Field,34.555584,77.539038
290,Agricultural Field,34.558023,77.543832
291,Agricultural Field,34.557378,77.547647
292,Agricultural Field,34.552942,77.549229
293,Agricultural Field,34.553862,77.555337
294,Agricultural Field,34.5495,77.549167
295,Agricultural Field,34.547565,77.549059
296,Agricultural Field,34.546553,77.550828
297,Agricultural Field,34.547217,77.553227
298,Agricultural Field,34.549188,77.555526
299,Agricultural Field,34.551291,77.553396
300,Agricultural Field,34.549189,77.558152
301,Agricultural Field,34.550541,77.556273
302,Agricultural Field,34.551919,77.556774
303,Agricultural Field,34.614467,77.620026
304,Agricultural Field,34.616474,77.626435
305,Agricultural Field,34.616331,77.617406
306,Agricultural Field,34.617815,77.621409
307,Agricultural Field,34.578097,77.623582
308,Agricultural Field,34.581933,77.618828
309,Agricultural Field,34.58431,77.617999
310,Agricultural Field,34.586515,77.61622
311,Agricultural Field,34.591414,77.613977
312,Barren Land,34.583123,77.449055
313,Barren Land,34.576215,77.452866
314,Barren Land,34.562224,77.458368
315,Barren Land,34.546812,77.447997
316,Barren Land,34.544947,77.43678
317,Barren Land,34.578763,77.43657
318,Barren Land,34.56894,77.440143
319,Barren Land,34.551552,77.458122
320,Barren Land,34.565636,77.466596
321,Barren Land,34.573989,77.465577
322,Barren Land,34.568179,77.471967
323,Barren Land,34.557451,77.473607
324,Barren Land,34.561596,77.478815
325,Barren Land,34.557588,77.479709
326,Barren Land,34.561911,77.488656
327,Barren Land,34.547049,77.48751
328,Barren Land,34.552699,77.498201
329,Barren Land,34.537287,77.477983
330,Barren Land,34.527099,77.492068
331,Barren Land,34.535071,77.50552
332,Barren Land,34.544617,77.520183
333,Barren Land,34.547081,77.508516
334,Barren Land,34.51725,77.504938
335,Barren Land,34.525855,77.518806
336,Barren Land,34.532405,77.529114
337,Barren Land,34.536503,77.533701
338,Barren Land,34.542939,77.534216
339,Barren Land,34.539697,77.54293
340,Barren Land,34.528664,77.539428
341,Barren Land,34.53262,77.547203
342,Barren Land,34.537762,77.552733
343,Barren Land,34.542053,77.556898
344,Barren Land,34.542239,77.547886
345,Barren Land,34.533502,77.556358
346,Barren Land,34.525246,77.550698
347,Barren Land,34.52054,77.547374
348,Barren Land,34.599631,77.4252
349,Barren Land,34.584161,77.427291
350,Barren Land,34.591529,77.441729
351,Barren Land,34.658986,77.435261
352,Barren Land,34.671779,77.444368
353,Barren Land,34.680397,77.450552
354,Barren Land,34.675178,77.459554
355,Barren Land,34.662605,77.450121
356,Barren Land,34.656798,77.460195
357,Barren Land,34.666688,77.471195
358,Barren Land,34.658452,77.469456
359,Barren Land,34.653185,77.4799
360,Barren Land,34.648674,77.461676
361,Barren Land,34.643389,77.474069
362,Barren Land,34.646174,77.486723
363,Barren Land,34.657752,77.490044
364,Barren Land,34.648064,77.510461
365,Barren Land,34.64387,77.501164
366,Barren Land,34.633821,77.490749
367,Barren Land,34.625482,77.495768
368,Barren Land,34.631614,77.508166
369,Barren Land,34.639944,77.518131
370,Barren Land,34.619304,77.509086
371,Barren Land,34.624987,77.516322
372,Barren Land,34.632654,77.517963
373,Barren Land,34.624144,77.527185
374,Barren Land,34.619841,77.521057
375,Barren Land,34.609407,77.517048
376,Barren Land,34.606019,77.523362
377,Barren Land,34.61174,77.527415
378,Barren Land,34.618287,77.527197
379,Barren Land,34.619198,77.533125
380,Barren Land,34.613929,77.535014
381,Barren Land,34.608716,77.538984
382,Barren Land,34.601833,77.52946
383,Barren Land,34.603693,77.535701
384,Barren Land,34.605498,77.538807
385,Barren Land,34.608338,77.543859
386,Barren Land,34.600563,77.538005
387,Barren Land,34.604283,77.544307
388,Barren Land,34.607097,77.548589
389,Barren Land,34.604753,77.555139
390,Barren Land,34.600647,77.552603
391,Barren Land,34.59693,77.53958
392,Barren Land,34.598155,77.545925
393,Barren Land,34.595643,77.552582
394,Barren Land,34.600232,77.558113
395,Barren Land,34.603914,77.561009
396,Barren Land,34.601235,77.565063
397,Barren Land,34.597997,77.562596
398,Barren Land,34.595126,77.559704
399,Barren Land,34.594371,77.5681
400,Barren Land,34.597716,77.571556
401,Barren Land,34.594768,77.576291
402,Barren Land,34.599574,77.578484
403,Barren Land,34.602151,77.573814
404,Barren Land,34.610448,77.576357
405,Barren Land,34.613802,77.571622
406,Barren Land,34.620554,77.571659
407,Barren Land,34.61696,77.561886
408,Barren Land,34.61225,77.555488
409,Barren Land,34.624059,77.568196
410,Barren Land,34.622252,77.562845
411,Barren Land,34.620006,77.638024
412,Barren Land,34.619486,77.649335
413,Barren Land,34.61377,77.633544
414,Barren Land,34.607679,77.630474
415,Barren Land,34.604064,77.628418
416,Barren Land,34.601293,77.626269
417,Barren Land,34.596696,77.623712
418,Barren Land,34.591089,77.625683
419,Barren Land,34.587319,77.626712
420,Barren Land,34.58443,77.62777
421,Barren Land,34.586089,77.632961
422,Barren Land,34.589746,77.633671
423,Barren Land,34.586685,77.642211
424,Barren Land,34.591611,77.647629
425,Barren Land,34.602252,77.641513
426,Barren Land,34.578726,77.638097
427,Barren Land,34.572737,77.632641
428,Barren Land,34.566521,77.637775
429,Barren Land,34.567371,77.646246
430,Barren Land,34.573505,77.647022
431,Barren Land,34.578833,77.649514
