s_no,Class,ClassID,Latitude,Longitude
102,Natural Vegetation,3,34.042788482,77.67380861
103,Natural Vegetation,3,34.040220512,77.681985913
104,Natural Vegetation,3,34.034118251,77.679808732
105,Natural Vegetation,3,34.030264656,77.670154922
106,Natural Vegetation,3,34.035731159,77.650809543
107,Natural Vegetation,3,34.033591114,77.658883367
108,Natural Vegetation,3,34.028153254,77.661056036
109,Natural Vegetation,3,34.027181048,77.669046813
110,Natural Vegetation,3,34.027241106,77.678930536
111,Natural Vegetation,3,34.019847526,77.680718619
112,Natural Vegetation,3,34.018356101,77.684692275
113,Natural Vegetation,3,34.013391466,77.676217441
114,Natural Vegetation,3,34.000667331,77.678424982
115,Natural Vegetation,3,34.004401958,77.690063639
116,Natural Vegetation,3,33.994509672,77.683500669
117,Natural Vegetation,3,33.985806275,77.689153134
118,Natural Vegetation,3,33.948302208,77.722617289
119,Natural Vegetation,3,33.942710836,77.723080122
120,Natural Vegetation,3,33.929603844,77.722754832
121,Natural Vegetation,3,33.914446929,77.73115523
122,Natural Vegetation,3,33.913010108,77.738240807
123,Natural Vegetation,3,33.909778063,77.732978422
124,Natural Vegetation,3,33.908142866,77.735561224
125,Natural Vegetation,3,33.905451626,77.73462287
126,Natural Vegetation,3,33.903000127,77.731838387
127,Natural Vegetation,3,33.902960731,77.735500682
128,Natural Vegetation,3,33.901546086,77.739048984
129,Natural Vegetation,3,33.898294097,77.74458082
130,Natural Vegetation,3,33.904110519,77.742663646
131,Snow/Ice,6,33.91265315,77.645073862
132,Snow/Ice,6,33.929168141,77.623226397
133,Snow/Ice,6,33.996339089,77.450544066
134,Snow/Ice,6,33.975729236,77.449678069
135,Snow/Ice,6,33.959355449,77.465056603
136,Snow/Ice,6,33.942711022,77.488250169
137,Snow/Ice,6,33.924090504,77.513804595
138,Snow/Ice,6,33.893932893,77.54754926
139,Snow/Ice,6,33.868909617,77.602841586
140,Snow/Ice,6,34.257548411,77.649773845
141,Snow/Ice,6,34.234591438,77.66724309
142,Snow/Ice,6,34.228336247,77.693256178
143,Snow/Ice,6,34.22107435,77.717651673
144,Snow/Ice,6,34.196438066,77.719306844
145,Snow/Ice,6,34.16877445,77.740815945
146,Snow/Ice,6,34.121858359,77.78041344
147,Water Bodies,4,34.130380284,77.506214868
148,Water Bodies,4,34.127912093,77.511892524
149,Water Bodies,4,34.120593239,77.521404308
150,Water Bodies,4,34.120156274,77.52500298
151,Water Bodies,4,34.11536876,77.526450321
152,Water Bodies,4,34.111391978,77.546141378
153,Water Bodies,4,34.112282417,77.553772687
154,Water Bodies,4,34.112455733,77.560374264
155,Water Bodies,4,34.106574785,77.573116889
156,Water Bodies,4,34.103401353,77.577904277
157,Water Bodies,4,34.102430591,77.586963286
158,Water Bodies,4,34.099946686,77.594540668
159,Water Bodies,4,34.093151058,77.599023522
160,Water Bodies,4,34.088739563,77.603393757
161,Water Bodies,4,34.085204752,77.606319869
162,Water Bodies,4,34.080030056,77.609630892
163,Water Bodies,4,34.076213214,77.613806432
164,Water Bodies,4,34.074263549,77.619198652
165,Water Bodies,4,34.06916368,77.624055252
166,Water Bodies,4,34.064055652,77.630352832
167,Water Bodies,4,34.060630839,77.640589753
168,Water Bodies,4,34.056298076,77.647236122
169,Water Bodies,4,34.049561802,77.654733472
170,Water Bodies,4,34.040775266,77.66425975
171,Water Bodies,4,34.031220263,77.670550414
172,Water Bodies,4,34.017191474,77.677107432
173,Water Bodies,4,34.008147978,77.687700681
174,Water Bodies,4,33.997195469,77.69672601
175,Water Bodies,4,33.978924657,77.70509468
176,Water Bodies,4,33.958018543,77.717668974
177,Water Bodies,4,33.927720846,77.729486202
178,Water Bodies,4,33.918315937,77.735217087
179,Water Bodies,4,33.912278444,77.742569694
180,Agricultural Land,2,33.904476669,77.740580272
181,Agricultural Land,2,33.903683121,77.736372611
182,Agricultural Land,2,33.908799954,77.737046728
183,Agricultural Land,2,33.914352572,77.738770583
184,Agricultural Land,2,33.915022742,77.732525612
185,Agricultural Land,2,33.913922056,77.735930021
186,Agricultural Land,2,33.921759943,77.733863756
187,Agricultural Land,2,33.931085189,77.727539499
188,Agricultural Land,2,33.933722269,77.727448156
189,Agricultural Land,2,33.933171524,77.722603146
190,Agricultural Land,2,33.937089118,77.725596038
191,Agricultural Land,2,33.941725369,77.724967562
192,Agricultural Land,2,33.987409825,77.689547453
193,Agricultural Land,2,33.990497806,77.691360868
194,Agricultural Land,2,33.99465364,77.690827881
195,Agricultural Land,2,33.993798192,77.68435598
196,Agricultural Land,2,33.998568648,77.678864933
197,Agricultural Land,2,34.00154676,77.681938591
198,Agricultural Land,2,34.006528379,77.677168806
199,Agricultural Land,2,34.011118018,77.67902014
200,Agricultural Land,2,34.013825267,77.677769165
201,Agricultural Land,2,34.013123219,77.68462639
202,Agricultural Land,2,34.018636622,77.679792147
203,Agricultural Land,2,34.023685924,77.679501848
204,Agricultural Land,2,34.02349023,77.685212565
205,Agricultural Land,2,34.02162207,77.673468
206,Agricultural Land,2,34.023503832,77.669059237
207,Agricultural Land,2,34.027254293,77.682167338
208,Agricultural Land,2,34.029137991,77.683294671
209,Agricultural Land,2,34.033161762,77.68431257
210,Agricultural Land,2,34.034894282,77.681059898
211,Agricultural Land,2,34.033206351,77.67470786
212,Agricultural Land,2,34.026908235,77.664791994
213,Agricultural Land,2,34.028706451,77.661143292
214,Agricultural Land,2,34.030935977,77.663718108
215,Agricultural Land,2,34.037039539,77.671228228
216,Agricultural Land,2,34.040847343,77.675971017
217,Agricultural Land,2,34.041560643,77.670123615
218,Agricultural Land,2,34.045422521,77.667980908
219,Agricultural Land,2,34.048741802,77.665230207
220,Agricultural Land,2,34.03241105,77.652792006
221,Agricultural Land,2,34.03285851,77.650035454
222,Agricultural Land,2,34.035034683,77.660613662
223,Agricultural Land,2,34.037545208,77.656954859
224,Agricultural Land,2,34.037135252,77.654121046
225,Agricultural Land,2,34.03913783,77.643792468
226,Agricultural Land,2,34.041802256,77.646285971
227,Agricultural Land,2,34.045913322,77.648471586
228,Agricultural Land,2,34.056072334,77.658824631
229,Agricultural Land,2,34.059853499,77.660972203
230,Agricultural Land,2,34.060430229,77.652382492
231,Agricultural Land,2,34.046896316,77.638031391
232,Agricultural Land,2,34.042531014,77.638562838
233,Agricultural Land,2,34.049877875,77.634125988
234,Agricultural Land,2,34.053481176,77.637040458
235,Agricultural Land,2,34.06188331,77.646125195
236,Agricultural Land,2,34.066442315,77.649084359
237,Agricultural Land,2,34.06926792,77.6438398
238,Agricultural Land,2,34.068742226,77.638806543
239,Agricultural Land,2,34.056669534,77.630303147
240,Agricultural Land,2,34.051947116,77.629602016
241,Agricultural Land,2,34.053558088,77.628209005
242,Agricultural Land,2,34.053828644,77.632618997
243,Agricultural Land,2,34.054713729,77.634115297
244,Agricultural Land,2,34.064970326,77.638332466
245,Agricultural Land,2,34.073034158,77.639096724
246,Agricultural Land,2,34.057716102,77.624162462
247,Agricultural Land,2,34.059829565,77.621400133
248,Agricultural Land,2,34.061766098,77.624135821
249,Agricultural Land,2,34.073017804,77.627717104
250,Agricultural Land,2,34.073621796,77.630119171
251,Agricultural Land,2,34.078862904,77.630229561
252,Agricultural Land,2,34.083009002,77.625056104
253,Agricultural Land,2,34.08035806,77.62353156
254,Agricultural Land,2,34.082043272,77.621915843
255,Agricultural Land,2,34.081146919,77.618577316
256,Agricultural Land,2,34.083596449,77.615889684
257,Agricultural Land,2,34.063638142,77.617389118
258,Agricultural Land,2,34.067475135,77.610394883
259,Agricultural Land,2,34.070543475,77.611070163
260,Agricultural Land,2,34.070815747,77.604167988
261,Agricultural Land,2,34.076668854,77.604704631
262,Agricultural Land,2,34.07852713,77.600229842
263,Agricultural Land,2,34.081875891,77.602097639
264,Agricultural Land,2,34.087282424,77.597825528
265,Agricultural Land,2,34.092172133,77.607994929
266,Agricultural Land,2,34.094030832,77.592282707
267,Agricultural Land,2,34.113073199,77.576940703
268,Agricultural Land,2,34.107263252,77.553056197
269,Agricultural Land,2,34.12030953,77.537101935
270,Agricultural Land,2,34.122292801,77.529619603
271,Agricultural Land,2,34.123371063,77.522554818
272,Agricultural Land,2,34.124588432,77.519769406
273,Agricultural Land,2,34.121490294,77.51258771
274,Agricultural Land,2,34.123193589,77.508186819
275,Barren Land,5,34.131317782,77.497284332
276,Barren Land,5,34.135883658,77.507393626
277,Barren Land,5,34.13293437,77.51252935
278,Barren Land,5,34.130991324,77.519889173
279,Barren Land,5,34.130024214,77.52591949
280,Barren Land,5,34.128267412,77.534884259
281,Barren Land,5,34.115844963,77.542045767
282,Barren Land,5,34.119580691,77.547882773
283,Barren Land,5,34.115365869,77.561902098
284,Barren Land,5,34.118981938,77.514909494
285,Barren Land,5,34.110355969,77.530163666
286,Barren Land,5,34.105403315,77.545358905
287,Barren Land,5,34.106076498,77.560240719
288,Barren Land,5,34.102993399,77.568548764
289,Barren Land,5,34.113420778,77.569912798
290,Barren Land,5,34.116295311,77.579102065
291,Barren Land,5,34.115192796,77.584589607
292,Barren Land,5,34.113453094,77.588762131
293,Barren Land,5,34.10053665,77.583569421
294,Barren Land,5,34.103182093,77.59795573
295,Barren Land,5,34.098381714,77.606730575
296,Barren Land,5,34.089830162,77.58838273
297,Barren Land,5,34.081514972,77.594038737
298,Barren Land,5,34.074197192,77.59822728
299,Barren Land,5,34.081084689,77.613182575
300,Barren Land,5,34.08577937,77.616430803
301,Barren Land,5,34.085263762,77.626609726
302,Barren Land,5,34.066027056,77.605864411
303,Barren Land,5,34.061534301,77.611865154
304,Barren Land,5,34.058233535,77.619463378
305,Barren Land,5,34.075050538,77.629533243
306,Barren Land,5,34.07238538,77.634936225
307,Barren Land,5,34.072807801,77.642320921
308,Barren Land,5,34.068651518,77.650269361
309,Barren Land,5,34.065940259,77.654393239
310,Barren Land,5,34.063724876,77.657742837
311,Barren Land,5,34.062825953,77.660194361
312,Barren Land,5,34.06166675,77.66397998
313,Barren Land,5,34.060547684,77.666993092
314,Barren Land,5,34.054697203,77.670256403
315,Barren Land,5,34.051430793,77.627047001
316,Barren Land,5,34.038848527,77.637290743
317,Barren Land,5,34.030410962,77.650877842
318,Barren Land,5,34.026631415,77.659143305
319,Barren Land,5,34.023502582,77.66588687
320,Barren Land,5,34.013297324,77.691349574
321,Barren Land,5,34.003059014,77.687696188
322,Barren Land,5,33.997143889,77.700917054
323,Snow/Ice,6,34.076223406,77.452855727
324,Snow/Ice,6,34.071293334,77.458268944
325,Snow/Ice,6,34.06133131,77.468941208
326,Snow/Ice,6,34.062719237,77.479778711
327,Snow/Ice,6,34.053775136,77.469687621
328,Snow/Ice,6,34.031588789,77.471231577
329,Snow/Ice,6,34.001827894,77.457193007
330,Snow/Ice,6,33.994460263,77.447350948
331,Snow/Ice,6,33.999340952,77.442616887
332,Snow/Ice,6,33.991620728,77.43991726
333,Snow/Ice,6,33.99998365,77.427200255
334,Snow/Ice,6,33.982542816,77.454691723
335,Snow/Ice,6,33.975043721,77.44845388
336,Snow/Ice,6,33.9665957,77.457636293
337,Snow/Ice,6,33.956072753,77.4661698
338,Snow/Ice,6,33.961569264,77.478349114
339,Snow/Ice,6,33.950468179,77.480271809
340,Snow/Ice,6,33.943717645,77.488236848
341,Snow/Ice,6,33.93200107,77.489210941
342,Snow/Ice,6,33.927003394,77.499891617
343,Snow/Ice,6,33.923894878,77.51176701
344,Snow/Ice,6,33.919968503,77.519730088
345,Snow/Ice,6,34.280135939,77.554660151
346,Snow/Ice,6,34.276329281,77.569979248
347,Snow/Ice,6,34.277665178,77.602708315
348,Snow/Ice,6,34.270644247,77.63544513
349,Snow/Ice,6,34.261902243,77.658246789
350,Snow/Ice,6,34.187575002,77.742220043
351,Snow/Ice,6,34.157359957,77.783612729
352,Snow/Ice,6,34.127626845,77.80925172
353,Snow/Ice,6,33.925320997,77.620850042
354,Snow/Ice,6,33.917572668,77.630837234
355,Snow/Ice,6,33.912808185,77.645087526
356,Snow/Ice,6,33.907314569,77.650282294
357,Agricultural Land,2,34.13228877,77.51093228
358,Agricultural Land,2,34.13145185,77.5118587
359,Agricultural Land,2,34.13273368,77.50709571
360,Agricultural Land,2,34.12702267,77.51926898
361,Agricultural Land,2,34.12465076,77.51971461
362,Agricultural Land,2,34.12340406,77.52257235
363,Agricultural Land,2,34.12239143,77.52717165
364,Agricultural Land,2,34.12263457,77.53036111
365,Agricultural Land,2,34.1234992,77.52888996
366,Agricultural Land,2,34.12065014,77.53765217
367,Agricultural Land,2,34.12260965,77.53733636
368,Agricultural Land,2,34.11598949,77.53520481
369,Agricultural Land,2,34.11590263,77.53287101
370,Agricultural Land,2,34.1080184,77.55468291
371,Agricultural Land,2,34.10681768,77.55576971
372,Agricultural Land,2,34.10723179,77.55867823
373,Agricultural Land,2,34.11298532,77.57722168
374,Agricultural Land,2,34.11301897,77.57452049
375,Agricultural Land,2,34.11590113,77.5749919
376,Agricultural Land,2,34.08107964,77.61975609
377,Agricultural Land,2,34.08286453,77.62050459
378,Agricultural Land,2,34.07913857,77.62247661
379,Agricultural Land,2,34.08128433,77.62599403
380,Agricultural Land,2,34.08174883,77.62816444
381,Agricultural Land,2,34.07858694,77.62756882
382,Agricultural Land,2,34.07501202,77.62660143
383,Agricultural Land,2,34.07323035,77.62743897
384,Agricultural Land,2,34.07366438,77.63013122
385,Agricultural Land,2,34.07064045,77.63993103
386,Agricultural Land,2,34.0717383,77.6408205
387,Agricultural Land,2,34.06843091,77.64222152
388,Agricultural Land,2,34.06851446,77.63923788
389,Agricultural Land,2,34.06640821,77.64653345
390,Agricultural Land,2,34.0664941,77.64901517
391,Agricultural Land,2,34.06337729,77.64611283
392,Agricultural Land,2,34.06233242,77.64260936
393,Agricultural Land,2,34.06116717,77.64886778
394,Agricultural Land,2,34.0637501,77.65316746
395,Agricultural Land,2,34.06058117,77.65476175
396,Agricultural Land,2,34.05878262,77.6534739
397,Agricultural Land,2,34.05931747,77.65947606
398,Agricultural Land,2,34.05560045,77.65946944
399,Agricultural Land,2,34.05843036,77.66081342
400,Agricultural Land,2,34.05809604,77.65566848
401,Agricultural Land,2,34.05412166,77.6626922
402,Agricultural Land,2,34.05124508,77.66480171
403,Agricultural Land,2,34.04911109,77.66577568
404,Agricultural Land,2,34.04756774,77.66765729
405,Agricultural Land,2,34.04544345,77.66679473
406,Agricultural Land,2,34.04519962,77.66965842
407,Agricultural Land,2,34.04218915,77.67055405
408,Agricultural Land,2,34.0415863,77.67503737
409,Agricultural Land,2,34.03847861,77.67007032
410,Agricultural Land,2,34.03887264,77.67472647
411,Agricultural Land,2,34.03550066,77.67119355
412,Agricultural Land,2,34.03323407,77.67717135
413,Agricultural Land,2,34.03035113,77.67361835
414,Agricultural Land,2,34.03645797,77.68114058
415,Agricultural Land,2,34.03613237,77.68300254
416,Agricultural Land,2,34.03441507,77.68099237
417,Agricultural Land,2,34.02828154,77.68135509
418,Agricultural Land,2,34.02655467,77.68251611
419,Agricultural Land,2,34.02218804,77.68165793
420,Agricultural Land,2,34.01883205,77.68005074
421,Agricultural Land,2,34.02526119,77.6773237
422,Agricultural Land,2,34.01308712,77.6846664
423,Agricultural Land,2,34.01127943,77.67930022
424,Agricultural Land,2,34.00883798,77.67755011
425,Agricultural Land,2,34.00727028,77.6799276
426,Agricultural Land,2,34.00089141,77.68194442
427,Agricultural Land,2,34.00291248,77.67719654
428,Agricultural Land,2,33.99858895,77.67982434
429,Agricultural Land,2,33.99333601,77.68421153
430,Agricultural Land,2,33.99289822,77.69101912
431,Agricultural Land,2,33.98793805,77.6900993
432,Agricultural Land,2,33.93475206,77.7262121
433,Agricultural Land,2,33.93404168,77.72563705
434,Agricultural Land,2,33.93114242,77.72757796
435,Agricultural Land,2,33.93144814,77.72388562
436,Agricultural Land,2,33.92288908,77.73231575
437,Agricultural Land,2,33.91429384,77.73884913
438,Agricultural Land,2,33.91413812,77.73574525
439,Agricultural Land,2,33.91453059,77.73739183
440,Agricultural Land,2,33.91353284,77.73974417
441,Agricultural Land,2,33.91200535,77.74061847
442,Agricultural Land,2,33.90879335,77.73702317
443,Agricultural Land,2,33.90431228,77.73665344
444,Agricultural Land,2,33.90489974,77.73955808
445,Agricultural Land,2,33.90625818,77.74202417
446,Agricultural Land,2,33.90190482,77.73977752
447,Agricultural Land,2,34.02231578,77.67229808
448,Agricultural Land,2,34.02408327,77.67032394
449,Agricultural Land,2,34.02355351,77.66902909
450,Agricultural Land,2,34.02664405,77.66765375
451,Agricultural Land,2,34.02559565,77.6691451
452,Agricultural Land,2,34.02834875,77.66522836
453,Agricultural Land,2,34.03057709,77.66027431
454,Agricultural Land,2,34.03416146,77.6615032
455,Agricultural Land,2,34.0366856,77.6589799
456,Agricultural Land,2,34.02990831,77.65656396
457,Agricultural Land,2,34.03230427,77.65364143
458,Agricultural Land,2,34.03562927,77.65153883
459,Agricultural Land,2,34.03973762,77.64361136
460,Agricultural Land,2,34.04222933,77.63830057
461,Agricultural Land,2,34.04572289,77.64365633
462,Agricultural Land,2,34.04782264,77.63991163
463,Agricultural Land,2,34.04807607,77.63513142
464,Agricultural Land,2,34.05276702,77.63476978
465,Barren Land,5,34.12815165,77.50492833
466,Barren Land,5,34.13606736,77.50948821
467,Barren Land,5,34.13257938,77.51362798
468,Barren Land,5,34.12983645,77.52100233
469,Barren Land,5,34.12778466,77.52060591
470,Barren Land,5,34.12976791,77.52367053
471,Barren Land,5,34.13156314,77.52503626
472,Barren Land,5,34.12263145,77.50724678
473,Barren Land,5,34.1189494,77.51490358
474,Barren Land,5,34.11627507,77.52026966
475,Barren Land,5,34.12747186,77.52595813
476,Barren Land,5,34.12613201,77.53773308
477,Barren Land,5,34.12457326,77.54002299
478,Barren Land,5,34.12170908,77.54307736
479,Barren Land,5,34.11596624,77.54182425
480,Barren Land,5,34.11071446,77.52663149
481,Barren Land,5,34.11043777,77.53033872
482,Barren Land,5,34.1190107,77.5492245
483,Barren Land,5,34.12591897,77.55152647
484,Barren Land,5,34.11876512,77.55920108
485,Barren Land,5,34.11541262,77.56170457
486,Barren Land,5,34.1078909,77.54062431
487,Barren Land,5,34.10549318,77.54522908
488,Barren Land,5,34.10474499,77.55058848
489,Barren Land,5,34.11902084,77.56221782
490,Barren Land,5,34.10611808,77.56009679
491,Barren Land,5,34.10483702,77.56400983
492,Barren Land,5,34.12084998,77.57452506
493,Barren Land,5,34.11622021,77.57922678
494,Barren Land,5,34.11293151,77.58150382
495,Barren Land,5,34.11007337,77.57969759
496,Barren Land,5,34.10158161,77.57346966
497,Barren Land,5,34.10206992,77.568976
498,Barren Land,5,34.09853523,77.56564664
499,Barren Land,5,34.11684267,77.5854915
500,Barren Land,5,34.1233468,77.58937862
501,Barren Land,5,34.10908663,77.59262425
502,Barren Land,5,34.09673093,77.57943965
503,Barren Land,5,34.10108736,77.58433597
504,Barren Land,5,34.10408821,77.59785886
505,Barren Land,5,34.10704554,77.60163605
506,Barren Land,5,34.09022243,77.58880073
507,Barren Land,5,34.08418014,77.59226248
508,Barren Land,5,34.09569458,77.60891364
509,Barren Land,5,34.08617979,77.60892645
510,Barren Land,5,34.08442399,77.614174
511,Barren Land,5,34.08888837,77.62167744
512,Barren Land,5,34.07957834,77.61524967
513,Barren Land,5,34.07767671,77.61883482
514,Barren Land,5,34.08546541,77.62630294
515,Barren Land,5,34.07791222,77.59644336
516,Barren Land,5,34.07008337,77.60064392
517,Barren Land,5,34.06743997,77.60404543
518,Barren Land,5,34.08016903,77.63246918
519,Barren Land,5,34.07306495,77.63258532
520,Barren Land,5,34.06313858,77.61021046
521,Barren Land,5,34.05994887,77.61753103
522,Barren Land,5,34.06260291,77.62932673
523,Barren Land,5,34.07349135,77.64134987
524,Barren Land,5,34.0558044,77.62297786
525,Barren Land,5,34.05294451,77.62727245
526,Barren Land,5,34.05040811,77.62969019
527,Barren Land,5,34.0583693,77.63681672
528,Barren Land,5,34.06063985,77.6336731
529,Barren Land,5,34.05592603,77.64497293
530,Barren Land,5,34.04578595,77.63152619
531,Barren Land,5,34.07076207,77.64721263
532,Barren Land,5,34.06826579,77.65088241
533,Barren Land,5,34.06545469,77.65404558
534,Barren Land,5,34.04682223,77.64741961
535,Barren Land,5,34.03846372,77.63894831
536,Barren Land,5,34.03341208,77.64565776
537,Barren Land,5,34.03638848,77.65610149
538,Barren Land,5,34.04451838,77.65804165
539,Barren Land,5,34.04172195,77.66005996
540,Barren Land,5,34.06039244,77.66699868
541,Barren Land,5,34.05488022,77.67019149
542,Barren Land,5,34.04544186,77.67406454
543,Barren Land,5,34.03120667,77.65182858
544,Barren Land,5,34.02829735,77.6549323
545,Barren Land,5,34.02774153,77.65726853
546,Barren Land,5,34.02572639,77.66156351
547,Barren Land,5,34.02624467,77.66351181
548,Barren Land,5,34.03051581,77.66819368
549,Barren Land,5,34.03130925,77.6714506
550,Barren Land,5,34.03217079,77.67390983
551,Barren Land,5,34.03902374,77.68525582
552,Barren Land,5,34.03368027,77.68782371
553,Barren Land,5,34.02584934,77.68432107
554,Barren Land,5,34.0188412,77.68538446
555,Barren Land,5,34.01470978,77.68337408
556,Barren Land,5,34.01252502,77.68320267
557,Barren Land,5,34.01618328,77.67359223
558,Barren Land,5,34.02318644,77.66621771
559,Barren Land,5,34.00808276,77.68347948
560,Barren Land,5,34.00601214,77.68825833
561,Barren Land,5,34.01607661,77.68676103
562,Barren Land,5,34.01122058,77.69193053
563,Barren Land,5,34.00675795,77.69369188
564,Barren Land,5,34.00195034,77.69497372
565,Barren Land,5,34.00260098,77.6881785
566,Barren Land,5,34.00196808,77.68494837
567,Barren Land,5,33.99560195,77.6828163
568,Barren Land,5,33.9941022,77.67581598
569,Barren Land,5,33.99332058,77.67120677
570,Barren Land,5,33.99446586,77.66302734
571,Barren Land,5,33.9925908,77.67372923
572,Barren Land,5,33.99120482,77.67640823
573,Barren Land,5,33.98926273,77.67680263
574,Barren Land,5,33.98807434,77.67844241
575,Barren Land,5,33.9941475,77.68632431
576,Barren Land,5,33.99079224,77.68736636
577,Barren Land,5,33.9881878,77.6883046
578,Barren Land,5,33.98808465,77.69133306
579,Barren Land,5,33.99294172,77.69313426
580,Barren Land,5,33.99418929,77.69689631
581,Barren Land,5,33.99612205,77.70098767
582,Barren Land,5,33.99006561,77.69759972
583,Barren Land,5,33.98789819,77.69643266
584,Barren Land,5,33.98664728,77.69235121
585,Barren Land,5,33.98557211,77.6970866
586,Barren Land,5,33.98284226,77.70124002
587,Barren Land,5,33.99324864,77.70541354
588,Barren Land,5,33.9784926,77.70407115
589,Barren Land,5,33.97558398,77.70746094
590,Barren Land,5,33.97929396,77.68480601
591,Barren Land,5,33.97402367,77.68747127
592,Barren Land,5,33.97031202,77.69147219
