Name,latitude,longitude
L98,33.31152105,78.47583944
L99,33.31336702,78.47364604
L100,33.30980576,78.47186974
S1,32.96745899,78.46378243
S2,32.96149719,78.46102488
S3,32.95584935,78.45412674
S4,32.95484845,78.46411868
S5,32.94895952,78.46789619
S6,32.93899637,78.46161524
S7,32.95193591,78.45874378
S8,32.9399265,78.47012027
S9,32.93410431,78.46152027
S10,32.93270913,78.46778036
S11,32.92837178,78.46042385
S12,32.92587174,78.46125236
S13,32.92620398,78.45742148
S14,32.95606981,78.45001196
S15,32.95265562,78.47706107
S16,32.95632241,78.44610583
S17,32.9227921,78.45680909
S18,32.90647909,78.4526691
S19,32.94317267,78.48813916
S20,32.95276066,78.43131765
S21,32.95078353,78.42307157
S22,32.97109812,78.4533784
S23,32.97649932,78.40693128
S24,32.97352196,78.40028638
S25,32.95108107,78.40842576
S26,32.97525847,78.42546609
S27,32.92055559,78.46241826
S28,32.9164323,78.45919695
S29,32.912972,78.45703181
S30,32.965372,78.40678211
S31,32.93739971,78.39208572
S32,32.93262958,78.39477536
S33,32.94149381,78.38809309
S34,32.93718322,78.38778293
S35,32.94168273,78.38337048
S36,32.90297676,78.4575976
S37,32.90656542,78.44714791
S38,32.90337772,78.42989312
S39,32.97658587,78.37207442
S40,32.92620692,78.38480737
S41,33.0076008,78.48803863
S42,33.00706291,78.48982694
S43,33.00536366,78.4835817
S44,33.00133374,78.48652216
S45,33.00324777,78.48125034
S46,33.00079315,78.49056199
S47,33.00124066,78.48104292
S48,33.00011326,78.47984801
S49,33.0021685,78.47798242
S50,32.99850075,78.47758512
S51,32.99931783,78.49917397
S52,32.99691123,78.48590624
S53,32.9988508,78.47436999
S54,32.99647733,78.49149851
S55,32.99820211,78.47344195
S56,33.01357473,78.48815284
S57,33.01677109,78.46523944
S58,32.99890316,78.4967632
S59,33.00805849,78.50699265
L60,33.00974606,78.50510618
L61,33.00750816,78.50492738
L62,33.00215448,78.50494904
L63,32.99935779,78.51790274
L64,32.99809476,78.51476615
L65,32.99800624,78.51256077
L66,32.99372352,78.51156849
L67,32.99749298,78.51668187
L68,32.99758016,78.5078088
L69,32.99500925,78.51845239
L70,32.9938446,78.50991206
L71,32.99024849,78.51694309
L71,33.06383122,78.48783678
L72,33.06924641,78.4848401
L73,33.04797243,78.48576943
L74,33.05553906,78.47214563
L75,33.05450503,78.4896897
L75,33.07557734,78.47066944
L76,33.08632181,78.47686309
L77,33.08415283,78.47464728
L78,33.06258395,78.4886049
L79,33.06153292,78.48830034
L80,33.07264257,78.46765232
L81,33.04641007,78.48413715
L82,33.10441693,78.45491377
L83,33.10705724,78.44834662
L84,33.10753195,78.44435274
L85,33.1092155,78.43723703
L86,33.10398009,78.46727697
L87,33.10434442,78.46443873
L88,33.10300511,78.45098657
L89,33.1339861,78.45166777
L90,33.13567226,78.44638085
L91,33.162203,78.42136666
L92,33.15457841,78.40474962
L93,33.14373196,78.40971813
L94,32.9145134,78.20138004
L95,32.91903872,78.21425302
L96,32.91232253,78.20785399
L97,32.893959,78.22071793
L98,32.95109943,78.17956934
L99,32.96209874,78.1633953
L100,32.9810661,78.13801449
P1,32.97397502,78.23998682
P2,32.97434977,78.23810212
P3,32.97165898,78.23410668
P4,32.97015216,78.23200396
P5,32.96953211,78.22982111
P6,32.97225909,78.22905908
P7,32.97348676,78.23015971
P8,32.96975889,78.23073822
P9,32.96800112,78.23231687
P10,32.96835257,78.23286013
P11,32.9708244,78.23295674
P12,32.96751035,78.23419872
P13,32.96742981,78.23554967
P14,32.96717883,78.23518243
P15,32.96668026,78.23521828
P16,32.96692919,78.23492609
P17,32.96640035,78.23513214
P18,32.96726747,78.2388064
P19,32.96612475,78.23879035
P20,32.96575524,78.23831155
P21,32.96559039,78.23816551
P22,32.96587744,78.24018194
P23,32.9645411,78.24159201
P24,32.96480948,78.24212301
P25,32.96366823,78.24337983
P26,32.96287033,78.24318622
P27,32.96328822,78.24421629
P28,32.9629155,78.24270256
P29,32.96299679,78.24490247
P30,32.96244793,78.24351307
P31,32.96251826,78.24455661
P32,32.96291508,78.24558747
P33,32.9618613,78.24596432
P34,32.96053142,78.24515907
P35,32.95963706,78.24457427
P36,32.95924195,78.2444689
P37,32.9590256,78.24436564
P38,32.95848333,78.24529437
P39,32.9578532,78.24516239
P40,32.95841604,78.24504359
P41,32.95815026,78.24417305
P42,32.95865131,78.24354961
P44,33.22033862,78.08641615
P45,33.23887294,78.06738296
P46,33.22352971,78.06502562
P47,33.2333381,78.06391968
P48,33.22991427,78.06154213
P49,33.22742546,78.05899281
P50,33.22589167,78.05865621
P51,33.22318699,78.30498917
P52,33.22251352,78.30512636
P53,33.2221139,78.30501621
P54,33.22093836,78.30556378
P55,33.22056994,78.30449287
P56,33.22239968,78.30283197
P57,33.22363447,78.30214373
P58,33.22342176,78.30192179
P59,33.2219218,78.30356214
P60,33.24564018,78.19791795
P62,33.2449843,78.19329657
P63,33.24591945,78.20185256
P64,33.24610216,78.20072231
P65,33.24592029,78.21190675
P66,33.24752557,78.20873754
P67,33.24864829,78.20571826
P68,33.24964116,78.20455931
P69,33.2509627,78.2022577
P70,33.2450226,78.21239149
P71,33.24381074,78.21391057
P72,33.1720844,77.79935361
P73,33.1732752,77.80261978
P74,33.17080691,77.80368365
P75,33.17198939,77.79719952
P76,33.17728959,77.79678742
P77,33.17528819,77.79704081
P78,33.17259623,77.80577099
P79,33.1681044,77.80237797
P80,33.16688068,77.79922372
P80,33.30195367,77.89060924
P81,33.29790715,77.89256595
P82,33.29789175,77.89316754
P84,33.29835078,77.88542773
P85,33.29648351,77.88630023
P86,33.29613598,77.89102276
P87,33.30170367,77.89517346
P88,33.30078665,77.89744448
P89,33.30120703,77.89987421
P90,33.29987994,77.90194469
P91,33.30191076,77.90587708
P92,33.29867627,77.90557391
P93,33.30321191,77.91010724
P94,33.30062118,77.91029447
P95,33.2556018,77.8230963
P96,33.25511052,77.82308187
P97,33.2546591,77.82275298
P98,33.25308236,77.82450556
P99,33.2522258,77.82401142
P100,33.25182672,77.82481659
V1,33.2543081,77.81535266
V2,33.25430959,77.81528028
V3,33.25409778,77.81527707
V4,33.25428929,77.81572549
V5,33.25517661,77.81439775
V6,33.25542655,77.81476053
V7,33.25521308,77.81483617
V8,33.25540346,77.81498828
V9,33.25560199,77.81484632
V10,33.25377629,77.81753509
V11,33.25366198,77.81767502
V12,33.25409356,77.82007378
V13,33.25378896,77.81964918
V14,33.25387998,77.82053186
V15,33.25534032,77.81981571
V16,33.25517566,77.81991755
V17,33.25509578,77.82047494
V18,33.25548913,77.81950768
V19,33.25594713,77.81945695
V20,33.25568624,77.81901356
V21,33.25562261,77.81896594
V22,33.25561921,77.81868242
V23,33.25566506,77.81858945
V24,33.25568822,77.81854247
V25,33.25600724,77.81881158
V26,33.25582387,77.81918669
V27,33.25537987,77.81866875
V28,33.29694386,77.89297205
V29,33.29702797,77.89300948
V30,33.29712934,77.89340219
V31,33.29704512,77.89281405
V32,33.29684794,77.89527505
V33,33.2966961,77.89523458
V34,33.29678202,77.89503179
V35,33.29672032,77.89558441
V36,33.29654402,77.89585652
V37,33.29647768,77.89680721
V38,33.29629419,77.8971468
V39,33.29644962,77.89650108
V40,33.29764384,77.898509
V41,33.2978613,77.89809018
V42,33.29777128,77.89855566
V43,33.29799012,77.89864332
V44,33.29776274,77.89885447
V45,33.2980999,77.90007901
V46,33.29787761,77.8999575
V48,33.29779505,77.90030243
V49,33.29874936,77.90152932
V50,33.29868677,77.90146209
V51,33.1800628,78.62352923
V52,33.18001128,78.62334028
V53,33.17998602,78.62311504
V54,33.18001432,78.62350542
V55,33.17997598,78.62350263
V56,33.1801772,78.62317852
V57,33.18011941,78.62327632
V58,33.18018133,78.62314351
V59,33.18004004,78.62317473
V60,33.18037214,78.62264132
V61,33.18034446,78.62263691
V62,33.18035556,78.62259941
V63,33.18031892,78.6226731
V64,33.18041535,78.62257225
V65,33.18034676,78.62281293
V66,33.18039907,78.62274646
V67,33.18043346,78.62287243
V68,33.18055656,78.62293163
V69,33.1791605,78.62183993
V70,33.1790442,78.62155341
V71,33.1791747,78.6216025
V72,33.17925567,78.62145765
V73,33.17931909,78.61871837
V74,33.17946292,78.61884375
V75,33.17954607,78.61827255
V76,33.17997968,78.61826236
V77,33.18048275,78.61820376
V78,33.18163168,78.61693301
V79,33.18144923,78.61686247
V80,33.183137,78.61907347
V81,33.1834385,78.62114743
V82,33.18339536,78.62161949
V83,33.18344481,78.62095345
V84,33.2005759,78.63528882
V85,33.20047764,78.63514318
V86,33.20034678,78.63503828
V87,33.20035579,78.6348369
V88,33.20069136,78.63571393
V89,33.20076527,78.63549079
V90,33.20073483,78.63541285
V91,33.2008075,78.63523691
V92,33.20075383,78.63529902
V93,33.20085683,78.63651677
V94,33.200801,78.63650654
V95,33.20072815,78.63651461
V96,33.20108638,78.63662409
V97,33.2009582,78.6364476
V98,33.2009714,78.63656641
V99,33.20085519,78.63631543
V100,33.20078007,78.63629556
A1,33.20383387,78.6512864
A2,33.20402032,78.65106652
A3,33.20352013,78.65302012
A4,33.2029989,78.65269885
A5,33.20325498,78.65294497
A6,33.20269828,78.65249711
A7,33.20352419,78.65110947
A8,33.20347689,78.65021002
A9,33.2033933,78.64998985
A10,33.20315038,78.64944626
A11,33.20328546,78.65065237
A12,33.20280259,78.64914506
A13,33.20238459,78.65213838
A14,33.20209708,78.65380358
A15,33.20308345,78.65433938
A16,33.20451283,78.65481249
A17,33.20431835,78.65559758
A18,33.20413311,78.65476837
A19,33.20406038,78.65738474
A20,33.20661965,78.65665103
A21,33.20519816,78.65585688
A22,33.20504613,78.65755271
A23,33.20539722,78.65505285
A24,33.20493807,78.6553312
A25,33.20419149,78.65574931
A26,33.20410852,78.65575323
A27,33.20578179,78.65701917
A28,33.20473355,78.65369655
A29,33.20388027,78.65308401
A30,33.20380323,78.65469577
A31,33.20404044,78.65280702
A32,33.20364004,78.65244754
A33,33.20453188,78.65195498
A34,33.20484679,78.65408372
A35,33.20495676,78.65205571
A36,33.20481792,78.65464712
A37,33.20361244,78.65406255
A39,33.20566844,78.66149994
A38,33.20563302,78.66143067
A40,33.20562884,78.66187611
A41,33.20141241,78.69807623
A42,33.20041113,78.69897891
A43,33.20121554,78.6990951
A44,33.20167224,78.69825232
A45,33.20172179,78.69771715
A46,33.20188299,78.69849641
A47,33.20277599,78.69683693
A48,33.20316905,78.69779967
A49,33.20334973,78.69826902
A50,33.20384211,78.69790126
A51,33.20376737,78.69937846
A52,33.20379103,78.6984687
A53,33.20310355,78.69904515
A54,33.20342479,78.69995803
A55,33.20273898,78.69993637
A56,33.20325969,78.70083329
A57,33.20254778,78.70035107
A58,33.20330099,78.70042787
A59,33.20253206,78.7000317
A60,33.20207484,78.70024022
A61,33.2020389,78.70043362
A62,33.20389202,78.70000563
A63,33.20431674,78.69971385
A64,33.20355514,78.69958467
A65,33.20336069,78.69937839
A66,33.20350925,78.69914716
A67,33.19899133,78.69910498
A68,33.19854546,78.69931078
A69,33.19863737,78.69985732
A70,33.19862072,78.69838813
A71,33.19659269,78.69980344
A72,33.19765693,78.69952407
A73,33.19757102,78.69898066
A74,33.19646782,78.70025004
A75,33.26173703,78.49924772
A76,33.26216073,78.49933823
A77,33.26158495,78.49918376
A78,33.26144054,78.49908697
A79,33.26244607,78.49914766
A80,33.26444386,78.50073371
A81,33.26042804,78.49866887
A82,33.26024307,78.498547
A83,33.26014552,78.49861535
A84,33.26006878,78.49868933
A85,33.25852322,78.49942797
A86,33.25867894,78.50024605
A87,33.26188265,78.49899037
A88,33.20157942,78.69656439
A89,33.20088499,78.69809492
A90,33.2009925,78.69609032
A91,33.20065746,78.69917134
A92,33.20275629,78.69553394
A93,33.20421896,78.69545899
A94,33.20396249,78.69464172
A93,33.20194645,78.69385149
A94,33.2037782,78.6926892
A95,33.20471435,78.69438485
A96,33.20135592,78.69561798
A97,33.20243587,78.69447639
A98,33.20277429,78.69312381
A99,33.2014517,78.69392048
A100,33.20063583,78.69351006
M1,33.20804502,78.70844275
M2,33.20661253,78.70876199
M3,33.20757206,78.70790968
M4,33.20659881,78.70703142
M5,33.20592421,78.70724573
M6,33.20598299,78.70822296
M7,33.20572058,78.70778851
M8,33.20560427,78.70695541
M9,33.21167833,78.71506046
M10,33.21220615,78.71429713
M11,33.21092716,78.71360342
M12,33.21321398,78.7169887
M13,33.21261587,78.71531919
M14,33.21548187,78.71962552
M15,33.21617417,78.72271543
M16,33.21585815,78.72253184
M17,33.21633152,78.72344492
M18,33.21621618,78.72390567
M19,33.21748506,78.7270519
M20,33.21838654,78.7279438
M21,33.27008793,78.46930711
M22,33.26856146,78.4737074
M23,33.26812035,78.47368528
M24,33.26904609,78.47385111
M25,33.26913159,78.47387543
M26,33.26155898,78.49353986
M27,33.26192711,78.49328882
M28,33.26226813,78.49307498
M29,33.23262902,78.56682994
M30,33.23213907,78.56689303
M31,33.23378573,78.56408596
M32,33.20365251,78.5829418
M33,33.20375604,78.58408205
M34,33.20352935,78.58288642
M35,33.20496055,78.58362847
M36,33.23539594,78.65491862
M37,33.23431581,78.65494205
M38,33.23507061,78.65474547
M39,33.23392729,78.65466865
M40,33.23336268,78.65437134
M41,33.25580969,78.67137753
M42,33.25513066,78.67136368
M43,33.26529408,78.67934559
M44,33.26519541,78.67922766
M45,33.26607446,78.68019124
M45,33.26476958,78.67891854
M46,33.26449932,78.67870947
M47,33.26376747,78.67742328
M48,33.26353453,78.67726584
M49,33.26205065,78.67629241
M50,33.26155158,78.67596927
M51,33.14254618,78.58841251
M52,33.14210277,78.5881097
M53,33.14178318,78.58801552
M54,33.14037263,78.58799293
M55,33.14184646,78.58974304
M56,33.14123138,78.5837674
M57,33.14103296,78.58347351
M58,33.14089156,78.58329889
M59,33.14008013,78.58769466
M60,33.14224913,78.59309599
M61,33.14209344,78.59310666
M62,33.1424482,78.59238953
M63,33.14300967,78.59514183
M64,33.1436881,78.5958884
M65,33.14360642,78.59576504
M66,33.1430984,78.59497804
M67,33.14387889,78.5976478
M68,33.2043115,78.57931748
M69,33.20398782,78.57915717
M70,33.20456595,78.57784103
M71,33.20399824,78.57833547
M72,33.20382612,78.57787384
M74,33.20380266,78.57748924
M75,32.80303591,78.95440188
M76,32.79167654,78.95770843
M77,32.79083962,78.95471412
M78,32.8014999,78.9529365
M79,32.79694446,78.97380966
M80,32.77158247,78.97573673
M81,32.77544566,78.98495662
M82,32.7777876,78.9831337
M83,32.77687757,78.98193117
M84,32.77720099,78.98185255
M85,32.77527854,78.98487188
M86,32.7748253,78.98396693
M87,32.77468468,78.98397398
M88,32.77480398,78.98507131
M89,32.77571568,78.98543853
M90,32.77268672,78.9770433
M91,32.77295717,78.97679833
M92,32.77228986,78.97851522
M93,33.10917856,78.73009816
M94,33.10686647,78.73426081
M95,33.11280542,78.73546997
M96,33.10783004,78.73017043
M97,33.09318924,78.7093295
M98,33.0928027,78.70849421
M99,33.09138886,78.7077487
M100,33.08929719,78.70684376
R1,32.96579014,78.2627186
R2,32.9653954,78.26234656
R3,32.96605884,78.26239829
R4,32.96587008,78.26308306
R5,32.96689264,78.26426034
R6,32.96864038,78.26417089
R7,32.96678913,78.26349117
R8,32.96568825,78.26261046
R9,32.96623351,78.26168114
R10,32.96628757,78.26371599
R11,32.96587708,78.26190265
R11,32.96568766,78.26209617
R12,32.96487539,78.26203875
R13,32.96511037,78.26148923
R14,32.96929959,78.26475184
R15,32.97069385,78.26494185
R16,32.96945761,78.26556402
R17,32.96953432,78.26495568
R18,32.96988156,78.26354724
R19,32.97197233,78.26549571
R20,32.96982046,78.26602673
R21,32.97000867,78.26634947
R22,33.16232778,78.6083998
R23,33.16248259,78.60814849
R24,33.16257241,78.60782548
R25,33.1624912,78.60756589
R26,33.1636304,78.60848814
R27,33.16321596,78.60801087
R28,33.16214338,78.60767945
R29,33.16215927,78.60859538
R30,33.16381905,78.60875229
R31,33.16418857,78.60867388
R32,33.16791955,78.61782219
R33,33.16971173,78.61640948
R34,33.1877775,78.65158154
R35,33.1881373,78.65009517
R36,33.18941627,78.65220042
R37,33.18810097,78.65027435
R38,33.18939518,78.65133049
R39,33.18819846,78.64926141
R40,33.18923478,78.64950614
R41,33.18858836,78.65260141
R42,33.18825107,78.65401943
R43,33.20636827,78.65029868
R44,33.20480865,78.650617
R45,33.2041516,78.65074749
R46,33.20324816,78.65115051
R47,33.20464333,78.65007805
R48,33.20450962,78.65054876
R49,33.20504927,78.65041782
R50,33.20477979,78.64846444
R51,33.20467451,78.64827221
R52,33.20451185,78.647937
R53,33.20438027,78.64758188
R54,33.20383537,78.64814586
R55,33.20352504,78.64758953
R56,33.20236841,78.65090504
R57,33.2029178,78.65092883
R58,33.20154661,78.65065729
R59,33.20211761,78.64861345
R60,33.20231178,78.64859486
R61,33.20208966,78.65088352
R62,33.20200563,78.65227934
R63,33.20127698,78.65398517
R64,33.20189035,78.6530126
R65,33.20233095,78.65426091
R66,33.20313001,78.6539697
R67,33.20471307,78.65246143
R68,33.20529399,78.6516849
R69,33.20509922,78.64942544
R70,33.20428718,78.64849855
R71,33.20310643,78.64663229
R72,33.20342466,78.64718095
R73,33.20404229,78.64642553
R74,33.20395607,78.64618815
R75,33.20290931,78.64622377
R76,33.20495067,78.64677485
R77,33.20705138,78.64701814
R78,33.20687275,78.6472807
R79,33.20734673,78.64793683
R80,33.20686503,78.64685383
R81,33.2068088,78.6497886
R82,33.20157542,78.64075181
R83,33.20262937,78.64042363
R84,33.20122831,78.64017043
R85,33.20264555,78.64319438
R86,33.20209344,78.64296771
R87,32.8006607,79.00520657
R88,32.80066296,79.00790047
R89,32.79989987,79.00697493
R90,32.80131387,79.00618692
R91,32.78997789,79.00016871
R92,32.79004717,79.00014876
R93,32.78990723,78.99966699
R94,32.79024248,79.00044066
R95,32.79009037,78.99966766
R96,32.79034663,78.99891178
R97,32.79001212,78.99933204
R98,32.78994116,78.99879567
R99,32.79012093,78.99887842
R100,32.79008368,78.99949149
